,prod_name,price,old_price,price_ml,stars,reviews,delivery_date
54,Wella Champú Fusion - 1000 ml,17.95,,1.8,4.6,3276.0,6 de abril
55,Revlon Profesional ProYou Tratamiento Anti-Caída,17.95,,24.93,4.2,146.0,6 de abril
56,Revlon Professional ProYou Champú,12.25,,1.23,4.3,218.0,
57,Revlon 45 Days 2en1 For Golden Blondes Champú y Acondicionador - 276 ml,9.67,,3.5,4.3,98.0,6 de abril
58,Revlon Professional ProYou Champú Volumen 350 ml,5.54,5.71,1.58,,,
59,"REVLON Professional Eksperience Persistent Anti Hair Loss (SOS Loción 12X7ML), Único, Estándar",59.16,,,,,
60,Champú Anti Hair Loss Caída Eksperience Intercosmo 250ml,20.0,,8.0,4.5,22.0,6 de abril
61,REVLON PROFESSIONAL NUTRI COLOR 931/BEIGE CLARO 100ML (7241324931),7.0,,7.0,4.0,124.0,
62,Revlon Professional ProYou Champú Hidratante Rizos 350 ml,5.95,12.1,1.7,,,6 de abril
63,Revlon Professional Nutri Color Filters #097 Turquoise 100 ml,10.0,,,5.0,1.0,6 de abril
64,REVLON PROFESSIONAL UNIQ ONE ALL IN ONE Set Tratamiento Classic 150 ml + Tratamiento Green Tea 150 ml,20.45,,,5.0,2.0,
65,Revlon Professional Intragen Anti Hair Loss Shampoo 1000 Ml - 1000 Mililitros,44.0,,4.4,4.4,14.0,6 de abril
66,Revlon Professional ProYou Champú Vigorizante Anti-Caída 350 ml,5.95,9.92,1.7,5.0,1.0,
67,"Revlon Professional - Tratamiento ProYou anticaída del cabello, 6 ml, 12 unidades",,,,3.7,13.0,
68,Revlon Professional ProYou Mascarilla Cuidado del Color 500 ml,9.66,,1.93,,,
69,Revlon Equave Hydro Nutritive Detangling Conditioner 500ml x2,36.99,,3.7,4.8,239.0,6 de abril
70,"REVLON PROFESSIONAL Total Color Care Tratamiento Capilar, 150 ml",7.67,,,,,8 de abril
71,Revlon Professional ProYou Color,8.99,,2.57,4.1,12.0,
72,3xEquave Keratin Enriched Hydro Detangling Conditioner 500 Ml,39.3,,2.62,4.4,24.0,
73,REVLON NUTRI COLOR 812/BEIGE PERLADO 270ML,29.69,,11.0,4.2,233.0,
74,REVLON PROFESSIONAL Nutri Color Filters #821 Silver Beige 100 ml,9.99,,,4.5,14.0,6 de abril
75,Revlon Professional Sello de Brillo para Cabello Encrespado y Seco 80 ml,6.5,13.19,,4.1,9.0,
76,Revlon Nutri Color Creme Tinte Tono 200 Violeta - 100 ml,13.64,,13.64,4.4,260.0,6 de abril
77,Revlon ProYou Care Purifying Champú - 350 ml,9.03,,2.58,4.4,8.0,
78,Revlon Nutri Color Creme Tinte Tono 1003 Golden Blonde - 100 ml,13.46,,13.46,4.0,101.0,6 de abril
79,"Revlon, Accesorio de coloración - 500 ml.",30.05,,,4.5,22.0,6 de abril
80,"Revlon, Cuidado del pelo y del cuero cabelludo - 1000 ml.",29.72,,2.97,4.5,15.0,6 de abril
81,Revlon Be Fabulous Daily Care Champú Cuidado Diario para Cabello Normal 750 ml,24.89,,2.49,4.5,28.0,
82,Revlon Professional Nutri Color Creme 500-Purple Red 270 ml/ 300 ml,,,,4.7,655.0,
83,Revlon Style Masters Creator Memory Spray - 150 ml,15.19,,,4.3,25.0,6 de abril
84,Revlon Professional ProYou Acondicionador Suavizante 350 ml,9.46,,2.7,,,6 de abril
85,Revlon Professional Equave Duo Pack Acondicionador Desenredante Cabello Rubio/Champú,14.76,,3.28,4.8,95.0,
86,"REVLON PROFESSIONAL Nutri Color Cream - Cuidado capilar, color 1003-pale gold, 100 ml",9.25,,9.25,4.2,3.0,
87,Revlon Professional ProYou Champú Neutralizante 350 ml,5.95,12.1,1.7,,,
88,UNIQ ONE COCONUT all in one hair treatment 150 ml ORIGINAL,11.28,,,4.5,15.0,
89,Revlon Professional ProYou Champú Neutralizante 1000 ml,12.58,30.0,1.26,,,
90,Revlon Proyou White Hair Shampoo Champú - 350 ml,6.99,11.36,2.0,4.3,143.0,6 de abril
91,PACK UNIQ ONE (CLASSIC + LOTUS FLOWER),20.45,,,5.0,7.0,
92,Revlon Be Fabulous Hair Recovery Paso 4 Tratamiento Capilar - 250 ml,7.64,,3.06,4.6,18.0,6 de abril
93,Revlon Be Fabulous Daily Care Spray de Volumen para Cabello Fino 80 ml,,,,3.9,56.0,
94,ProYou Care Revlon Repair Shampoo For Damaged Hair Champú - 1000 ml (929-77055),14.89,,1.49,4.3,27.0,
