year,week,date,track,artists,url,track_popularity,track_name,track_artists,track_album_name,track_href,track_album_release_date,owner_id
2011,44,29 de octubre,Rain Over Me,"['Pitbull', 'Marc Anthony']",https://es.wikipedia.org/wiki/Anexo:Los_n%C3%BAmeros_uno_de_Los_40_Principales_(Espa%C3%B1a)_2011,61.0,Rain Over Me,"['Pitbull', 'Marc Anthony']",Planet Pit (Deluxe Version),https://api.spotify.com/v1/tracks/2cZrrQMjB63c0iIugYH9zS,2011-06-17,popersea
2011,46,12 de noviembre,I Wanna Go,['Britney Spears'],https://es.wikipedia.org/wiki/Anexo:Los_n%C3%BAmeros_uno_de_Los_40_Principales_(Espa%C3%B1a)_2011,0.0,I Wanna Go,['Britney Spears'],I Wanna Go,https://api.spotify.com/v1/tracks/02HKZdNkNioIcOSMtYcpiF,2011-06-21,angelus_
2011,48,26 de noviembre,We Found Love,"['Rihanna', 'Calvin Harris']",https://es.wikipedia.org/wiki/Anexo:Los_n%C3%BAmeros_uno_de_Los_40_Principales_(Espa%C3%B1a)_2011,10.0,We Found Love,"['Rihanna', 'Calvin Harris']",We Found Love,https://api.spotify.com/v1/tracks/14fmbvjYLqRZEXz1VZdM2M,2011-09-22,popersea
2011,49,3 de diciembre,We Found Love,"['Rihanna', 'Calvin Harris']",https://es.wikipedia.org/wiki/Anexo:Los_n%C3%BAmeros_uno_de_Los_40_Principales_(Espa%C3%B1a)_2011,10.0,We Found Love,"['Rihanna', 'Calvin Harris']",We Found Love,https://api.spotify.com/v1/tracks/14fmbvjYLqRZEXz1VZdM2M,2011-09-22,popersea
2012,20,19 de mayo,Stronger (What Doesn't Kill You),['Kelly Clarkson'],https://es.wikipedia.org/wiki/Anexo:Los_n%C3%BAmeros_uno_de_Los_40_Principales_(Espa%C3%B1a)_2012,69.0,Stronger (What Doesn't Kill You),['Kelly Clarkson'],Stronger (Deluxe Version),https://api.spotify.com/v1/tracks/1nInOsHbtotAmEOQhtvnzP,2011-10-24,dannig012
2012,22,2 de junio,Boys Will Be Boys,['Paulina Rubio'],https://es.wikipedia.org/wiki/Anexo:Los_n%C3%BAmeros_uno_de_Los_40_Principales_(Espa%C3%B1a)_2012,0.0,Boys Will Be Boys,['Paulina Rubio'],Boys Will Be Boys,https://api.spotify.com/v1/tracks/11fGpV4GpQELQqSv96DBeA,2012-01-01,dannig012
2012,28,14 de julio,Call Me Maybe,['Carly Rae Jepsen'],https://es.wikipedia.org/wiki/Anexo:Los_n%C3%BAmeros_uno_de_Los_40_Principales_(Espa%C3%B1a)_2012,71.0,Call Me Maybe,['Carly Rae Jepsen'],Kiss,https://api.spotify.com/v1/tracks/20I6sIOMTCkB6w7ryavxtO,2012-01-01,nestorviolin
2012,28,14 de julio,Call Me Maybe,['Carly Rae Jepsen'],https://es.wikipedia.org/wiki/Anexo:Los_n%C3%BAmeros_uno_de_Los_40_Principales_(Espa%C3%B1a)_2012,11.0,Call Me Maybe,['Carly Rae Jepsen'],Call Me Maybe,https://api.spotify.com/v1/tracks/5unfeZUhKhICP73CDYBW4N,2012-01-01,elsapato
2012,34,25 de agosto,Call Me Maybe,['Carly Rae Jepsen'],https://es.wikipedia.org/wiki/Anexo:Los_n%C3%BAmeros_uno_de_Los_40_Principales_(Espa%C3%B1a)_2012,71.0,Call Me Maybe,['Carly Rae Jepsen'],Kiss,https://api.spotify.com/v1/tracks/20I6sIOMTCkB6w7ryavxtO,2012-01-01,nestorviolin
2012,34,25 de agosto,Call Me Maybe,['Carly Rae Jepsen'],https://es.wikipedia.org/wiki/Anexo:Los_n%C3%BAmeros_uno_de_Los_40_Principales_(Espa%C3%B1a)_2012,11.0,Call Me Maybe,['Carly Rae Jepsen'],Call Me Maybe,https://api.spotify.com/v1/tracks/5unfeZUhKhICP73CDYBW4N,2012-01-01,elsapato
2012,39,29 de septiembre,Call Me Maybe,['Carly Rae Jepsen'],https://es.wikipedia.org/wiki/Anexo:Los_n%C3%BAmeros_uno_de_Los_40_Principales_(Espa%C3%B1a)_2012,71.0,Call Me Maybe,['Carly Rae Jepsen'],Kiss,https://api.spotify.com/v1/tracks/20I6sIOMTCkB6w7ryavxtO,2012-01-01,nestorviolin
