url,season,number,airdate,runtime,summary,titles,ratings,total_votes
http://www.tvmaze.com/episodes/4977/game-of-thrones-3x06-the-climb,3,6,2013-05-05,60,"Tywin plans strategic unions for the Lannisters. Melisandre visits the Riverlands. Robb weighs a compromise to repair his alliance with House Frey. Roose Bolton decides what to do with Jaime Lannister. Jon, Ygritte and the Wildlings face a daunting climb.",The Climb,8.8,"22,698"
http://www.tvmaze.com/episodes/4978/game-of-thrones-3x07-the-bear-and-the-maiden-fair,3,7,2013-05-12,60,"Daenerys exchanges gifts with a slave lord outside Yunkai. As Sansa frets about her prospects, Shae chafes at Tyrion's new situation. Tywin counsels the king, and Melisandre reveals a secret to Gendry. Brienne faces a formidable foe in Harrenhal.",The Bear and the Maiden Fair,8.7,"21,945"
http://www.tvmaze.com/episodes/4979/game-of-thrones-3x08-second-sons,3,8,2013-05-19,60,"King's Landing hosts a wedding, and Tyrion and Sansa spend the night together. Daenerys meets the Titan's Bastard. Davos demands proof from Melisandre. Sam and Gilly meet an older Gentleman.",Second Sons,9.0,"22,525"
http://www.tvmaze.com/episodes/4980/game-of-thrones-3x09-the-rains-of-castamere,3,9,2013-06-02,60,"Robb presents himself to Walder Frey, and Edmure meets his bride. Jon faces his harshest test yet. Bran discovers a new gift. Daario and Jorah debate how to take Yunkai. House Frey joins with House Tully.",The Rains of Castamere,9.9,"85,854"
http://www.tvmaze.com/episodes/4981/game-of-thrones-3x10-mhysa,3,10,2013-06-09,60,"Joffrey challenges Tywin. Bran tells a ghost story. In Dragonstone, mercy comes from strange quarters. Daenerys waits to see if she is a conqueror or a liberator.",Mhysa,9.1,"25,506"
http://www.tvmaze.com/episodes/4982/game-of-thrones-4x01-two-swords,4,1,2014-04-06,60,"Tyrion welcomes a guest to King's Landing. At Castle Black, Jon Snow finds himself unwelcome. Dany is pointed to Meereen, the mother of all slave cities. Arya runs into an old friend.",Two Swords,9.1,"29,013"
http://www.tvmaze.com/episodes/4983/game-of-thrones-4x02-the-lion-and-the-rose,4,2,2014-04-13,60,"Tyrion lends Jaime a hand. Joffrey and Margaery host a breakfast. At Dragonstone, Stannis loses patience with Davos. Ramsay finds a purpose for his pet. North of the Wall, Bran sees where they must go.",The Lion and the Rose,9.7,"45,474"
http://www.tvmaze.com/episodes/4984/game-of-thrones-4x03-breaker-of-chains,4,3,2014-04-20,60,"Tyrion ponders his options. Tywin extends an olive branch. Sam realizes Castle Black isn't safe, and Jon proposes a bold plan. The Hound teaches Arya the way things are. Dany chooses her Champion.",Breaker of Chains,8.9,"24,447"
http://www.tvmaze.com/episodes/4985/game-of-thrones-4x04-oathkeeper,4,4,2014-04-27,60,"Dany balances justice and mercy. Jaime tasks Brienne with his honor. Jon secures volunteers while Bran, Jojen, Meera and Hodor stumble on shelter.",Oathkeeper,8.8,"23,466"
http://www.tvmaze.com/episodes/4986/game-of-thrones-4x05-first-of-his-name,4,5,2014-05-04,60,Cersei and Tywin plot the Crown's next move. Dany discusses future plans. Jon embarks on a new mission.,First of His Name,8.7,"22,707"
http://www.tvmaze.com/episodes/4987/game-of-thrones-4x06-the-laws-of-gods-and-men,4,6,2014-05-11,60,Stannis and Davos set sail with a new strategy. Dany meets with supplicants. Tyrion faces down his father in the throne room.,The Laws of Gods and Men,9.7,"41,809"
http://www.tvmaze.com/episodes/4988/game-of-thrones-4x07-mockingbird,4,7,2014-05-18,60,Tyrion enlists an unlikely ally. Daario entreats Dany to allow him to do what he does best. Jon's warnings about the Wall's vulnerability fall on deaf ears. Brienne follows a new lead on the road with Pod.,Mockingbird,9.1,"25,309"
http://www.tvmaze.com/episodes/4989/game-of-thrones-4x08-the-mountain-and-the-viper,4,8,2014-06-01,60,Mole's Town receives unexpected visitors. Littlefinger's motives are questioned. Ramsay attempts to prove himself to his father. Tyrion's fate is decided.,The Mountain and the Viper,9.7,"45,536"
http://www.tvmaze.com/episodes/4990/game-of-thrones-4x09-the-watchers-on-the-wall,4,9,2014-06-08,60,Jon Snow and the rest of the Night's Watch face the biggest challenge to the Wall yet.,The Watchers on the Wall,9.6,"38,227"
http://www.tvmaze.com/episodes/4991/game-of-thrones-4x10-the-children,4,10,2014-06-15,60,An unexpected arrival north of the Wall changes circumstances. Dany is forced to face harsh realities. Bran learns more of his destiny. Tyrion sees the truth of his situation.,The Children,9.7,"37,585"
http://www.tvmaze.com/episodes/116522/game-of-thrones-5x01-the-wars-to-come,5,1,2015-04-12,60,Varys discusses a conspiracy with Tyrion; Daenerys' rule faces a new threat; Jon finds himself between two kings; and Cersei and Jaime try to move on from Tywin's demise.,The Wars to Come,8.5,"25,803"
http://www.tvmaze.com/episodes/144328/game-of-thrones-5x02-the-house-of-black-and-white,5,2,2015-04-19,60,Arya arrives in Braavos; Brienne and Podrick find danger while traveling; Cersei worries about Myrcella in Dorne when Ellaria Sand seeks revenge for Oberyn's death; Jon is tempted by Stannis.,The House of Black and White,8.5,"22,737"
http://www.tvmaze.com/episodes/144329/game-of-thrones-5x03-high-sparrow,5,3,2015-04-26,60,"Cersei meets the High Sparrow after learning of a clergyman's embarrassing tale. Meanwhile, Davos talks to Jon about the future of Winterfell, where Ramsay Snow has just learned the identity of his future bride; Arya grows impatient doing menial tasks in the House of Black and White; and Tyrion searches for more comfortable surroundings on a long trip with Varys.",High Sparrow,8.5,"22,017"
http://www.tvmaze.com/episodes/144330/game-of-thrones-5x04-sons-of-the-harpy,5,4,2015-05-03,60,Margaery seeks prudent counsel. Jaime Struggles in foreign lands. Dany answers the Harpy's call.,Sons of the Harpy,8.7,"22,618"
http://www.tvmaze.com/episodes/151777/game-of-thrones-5x05-kill-the-boy,5,5,2015-05-10,60,Dany makes a difficult decision in Meereen. Jon recruits the help of an unexpected ally. Brienne searches for Sansa. Theon remains under Ramsay's control.,Kill the Boy,8.6,"22,905"
