url,season,number,airdate,runtime,summary,titles,ratings,total_votes
http://www.tvmaze.com/episodes/4980/game-of-thrones-3x09-the-rains-of-castamere,3,9,2013-06-02,60,"Robb presents himself to Walder Frey, and Edmure meets his bride. Jon faces his harshest test yet. Bran discovers a new gift. Daario and Jorah debate how to take Yunkai. House Frey joins with House Tully.",The Rains of Castamere,9.9,85.854
http://www.tvmaze.com/episodes/155299/game-of-thrones-5x08-hardhome,5,8,2015-05-31,60,Arya makes progress in her training. Sansa confronts an old friend. Cersei struggles. Jon travels.<br><br>,Hardhome,9.9,86.397
http://www.tvmaze.com/episodes/729574/game-of-thrones-6x09-battle-of-the-bastards,6,9,2016-06-19,60,Ramsay surprises his audience. Jon retaliates. Dany is true to her word.,Battle of the Bastards,9.9,183.936
http://www.tvmaze.com/episodes/729575/game-of-thrones-6x10-the-winds-of-winter,6,10,2016-06-26,69,"Alliances are made, the High Sparrow is holding trials at King's Landing, Daenerys is sailing for the Seven Kingdoms and a new King of the North is crowned.",The Winds of Winter,9.9,127.779
http://www.tvmaze.com/episodes/1221412/game-of-thrones-7x04-the-spoils-of-war,7,4,2017-08-06,60,Arya gets to the final destination. Daenerys takes it upon herself to strike back.,The Spoils of War,9.8,78.445
