url,season,number,airdate,runtime,summary,titles,ratings,total_votes
http://www.tvmaze.com/episodes/1623968/game-of-thrones-8x06-the-iron-throne,8,6,2019-05-19,80,"In the aftermath of the devastating attack on King's Landing, Daenerys must face the survivors.",The Iron Throne,4.1,218.157
http://www.tvmaze.com/episodes/1623966/game-of-thrones-8x04-the-last-of-the-starks,8,4,2019-05-05,78,The survivors plan their next steps; Cersei makes a power move.,The Last of the Starks,5.5,151.814
http://www.tvmaze.com/episodes/1623967/game-of-thrones-8x05-the-bells,8,5,2019-05-12,79,"Varys betrays his queen, and Daenerys brings her forces to King's Landing.",The Bells,6.0,176.805
http://www.tvmaze.com/episodes/1623965/game-of-thrones-8x03-the-long-night,8,3,2019-04-28,90,Winterfell fights the Army of the Dead.,The Long Night,7.5,199.155
http://www.tvmaze.com/episodes/1590943/game-of-thrones-8x01-winterfell,8,1,2019-04-14,60,"Arriving at Winterfell, Jon and Daenerys struggle to unite a divided North. Jon gets some big news.",Winterfell,7.6,121.011
