,Id,Name,Category,Subcategory,Price,Brand,Currency
0,54521,Ensalada Mezclum Petit Plà 250g,Frescos,Mercado,2.50€,Fruites i  Verdures Lluís Macià,€
1,42519,Aguacate Maduro,Frescos,Mercado,3.99€,Fruites i  Verdures Lluís Macià,€
2,43876,Plátano de Canarias Verde,Frescos,Mercado,2.47€,Fruites i  Verdures Lluís Macià,€
3,42501,Plátano de Canarias Maduro,Frescos,Mercado,2.47€,Fruites i  Verdures Lluís Macià,€
4,42535,Fresas de Maresme 500g,Frescos,Mercado,4.98€,Fruites i  Verdures Lluís Macià,€
5,42516,Kiwi Amarillo,Frescos,Mercado,9.03€,Fruites i  Verdures Lluís Macià,€
6,42502,Mandarina,Frescos,Mercado,3.98€,Fruites i  Verdures Lluís Macià,€
7,45971,Melón Bollo/Vicentin - Media Unidad,Frescos,Mercado,6.30€,Fruites i  Verdures Lluís Macià,€
8,48267,Fresas de Huelva 500g,Frescos,Mercado,2.99€,Fruites i  Verdures Lluís Macià,€
9,42538,Calabacín,Frescos,Mercado,1.68€,Fruites i  Verdures Lluís Macià,€
10,42551,Brócoli,Frescos,Mercado,1.25€,Fruites i  Verdures Lluís Macià,€
11,42531,Judía Perona,Frescos,Mercado,2.99€,Fruites i  Verdures Lluís Macià,€
12,42564,Patata Blanca (Monalisa),Frescos,Mercado,1.20€,Fruites i  Verdures Lluís Macià,€
13,42539,Berenjena Negra,Frescos,Mercado,1.23€,Fruites i  Verdures Lluís Macià,€
14,42543,Pepino,Frescos,Mercado,1.25€,Fruites i  Verdures Lluís Macià,€
15,42600,Cebolla Tierna Manojo,Frescos,Mercado,1.95€,Fruites i  Verdures Lluís Macià,€
16,42563,Zanahoria Segovia,Frescos,Mercado,1.85€,Fruites i  Verdures Lluís Macià,€
17,42541,Pimiento Rojo,Frescos,Mercado,2.00€,Fruites i  Verdures Lluís Macià,€
18,42830,Salmón Noruego Superior Suprema 210 gr aprox,Frescos,Mercado,4.91€,Peixnot,€
19,42816,Lubina a Filetes 350 gr,Frescos,Mercado,3.43€,Peixnot,€
20,43359,Salmón Noruego Ecológico Suprema 220gr,Frescos,Mercado,6.34€,Peixnot,€
21,42809,Dorada a Filetes 350 gr,Frescos,Mercado,3.47€,Peixnot,€
22,46451,Salmón a Dados 210 gr,Frescos,Mercado,5.04€,Peixnot,€
23,42846,Calamar Fresco pequeño Limpio para plancha 500 gr,Frescos,Mercado,10.00€,Peixnot,€
24,42863,Mejillón de Roca 500 gr,Frescos,Mercado,2.00€,Peixnot,€
25,42820,Merluza de Arrastre - Media a Filetes - sin Cabeza 1000 gr,Frescos,Mercado,10.00€,Peixnot,€
26,42150,Hamburguesa de Ternera de Girona 4 uds,Frescos,Mercado,4.20€,Carnisseria Olga,€
27,42156,Carne Picada de Ternera de Girona 500g,Frescos,Mercado,4.95€,Carnisseria Olga,€
28,42904,Salchichas de Cerdo - 6 a 8 uds aprox,Frescos,Mercado,4.20€,Carns i Xarcuteria Escofet Oliver,€
29,42274,Hamburguesa de Pollo con Teriyaki y Sésamo  2 x 150g,Frescos,Mercado,2.97€,Polleries El Pagès,€
30,42326,Salchichas de Pollo 6 uds aprox,Frescos,Mercado,3.47€,Polleries El Pagès,€
31,42269,Hamburguesa de Pollo 2 x 150g,Frescos,Mercado,2.97€,Polleries El Pagès,€
32,42145,Hamburguesa Eco de Bistec de Ternera 1ª del Pallars 2uds,Frescos,Mercado,6.00€,Carnisseria Olga,€
33,42151,Minihamburguesas de Ternera Eco 8uds,Frescos,Mercado,7.50€,Carnisseria Olga,€
34,42936,Longaniza de Payés,Frescos,Mercado,2.65€,Carns i Xarcuteria Escofet Oliver,€
35,42929,Jamón cocido extra,Frescos,Mercado,2.09€,Carns i Xarcuteria Escofet Oliver,€
36,42932,Pechuga de Pavo cocida,Frescos,Mercado,2.69€,Carns i Xarcuteria Escofet Oliver,€
37,42941,Jamón de Teruel,Frescos,Mercado,3.15€,Carns i Xarcuteria Escofet Oliver,€
38,47266,Pierna de Pavo Extra Natural,Frescos,Mercado,2.33€,Carns i Xarcuteria Escofet Oliver,€
39,42935,Fuet Extra en pieza,Frescos,Mercado,3.55€,Carns i Xarcuteria Escofet Oliver,€
40,42921,Chorizo Ibérico de Bellota,Frescos,Mercado,2.35€,Carns i Xarcuteria Escofet Oliver,€
41,42937,Sobrasada de Mallorca,Frescos,Mercado,1.95€,Carns i Xarcuteria Escofet Oliver,€
42,47267,Queso Feta Griego D.O.P.,Frescos,Mercado,2.79€,Carns i Xarcuteria Escofet Oliver,€
43,49928,Queso en Cuña Artesanal Fresco de Cabra 200gr,Frescos,Mercado,3.18€,Cansaladeria Alós,€
44,42952,Queso Burrata,Frescos,Mercado,4.90€,Carns i Xarcuteria Escofet Oliver,€
45,42751,Garbanzos Cocidos,Frescos,Mercado,3.05€,Llegums Porta Novau,€
46,42757,Lenteja Pardina Cocida,Frescos,Mercado,3.05€,Llegums Porta Novau,€
47,42756,Alubias de Santa Pau Cocidas,Frescos,Mercado,3.05€,Llegums Porta Novau,€
48,44685,Hummus,Frescos,Mercado,3.80€,Llegums Porta Novau,€
49,42319,Canelones de Rostit 6 uds.,Frescos,Mercado,5.50€,Polleries El Pagès,€
50,42767,Pasta Fresca Tallarines,Frescos,Mercado,2.85€,Llegums Porta Novau,€
51,42515,Kiwi Verde,Frescos,Mercado,3.87€,Fruites i  Verdures Lluís Macià,€
52,42507,Manzana Pink Lady,Frescos,Mercado,3.58€,Fruites i  Verdures Lluís Macià,€
53,42509,Pera Conference Rincón del Soto,Frescos,Mercado,2.98€,Fruites i  Verdures Lluís Macià,€
54,42504,Manzana Fuji,Frescos,Mercado,3.50€,Fruites i  Verdures Lluís Macià,€
55,42505,Manzana Golden,Frescos,Mercado,2.98€,Fruites i  Verdures Lluís Macià,€
56,43877,Aguacate Verde,Frescos,Mercado,4.39€,Fruites i  Verdures Lluís Macià,€
57,42517,Limón Premium,Frescos,Mercado,2.75€,Fruites i  Verdures Lluís Macià,€
58,42520,Mango,Frescos,Mercado,3.99€,Fruites i  Verdures Lluís Macià,€
59,43681,Cerezas Premium,Frescos,Mercado,11.25€,Fruites i  Verdures Lluís Macià,€
60,29403,Cesta Mixta Temporada Semanal 2-3 Personas (7 Kg aprox),Frescos,Frescos de Temporada,25.95€,Antolín,€
61,45940,Cesta Fruta de Temporada Semanal 2-3 Personas,Frescos,Frescos de Temporada,26.90€,Antolín,€
62,42559,Alcachofas,Frescos,Frescos de Temporada,3.15€,Fruites i  Verdures Lluís Macià,€
63,44702,Guisantes Llavaneras Premium Pelados 250 gr,Frescos,Frescos de Temporada,9.95€,Fruites i  Verdures Lluís Macià,€
64,43682,Calçots de Valls - Manojo x25,Frescos,Frescos de Temporada,5.95€,Fruites i  Verdures Lluís Macià,€
65,42531,Judía Perona,Frescos,Frescos de Temporada,2.99€,Fruites i  Verdures Lluís Macià,€
66,27455,Naranja de Zumo en Bolsa 5Kg,Frescos,Frescos de Temporada,6.29€,Antolín,€
67,48267,Fresas de Huelva 500g,Frescos,Frescos de Temporada,2.99€,Fruites i  Verdures Lluís Macià,€
68,42535,Fresas de Maresme 500g,Frescos,Frescos de Temporada,4.98€,Fruites i  Verdures Lluís Macià,€
